SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
624,3248,migrants rape our women,Statistics show that there is a difference between the reported rape of a person by a migrant and the actual rape cases among native born people. The latter are always under-reported.,Fact-Checking,MIGRANTS
625,3250,immigrants are bad,Why do you say this about immigrants? They are just people like us.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
626,3261,Muslim are not welcome in UK.,"We should start to think about the equality of all people before the law, regardless of religion.","Positive Tone, Empathy, and Affiliation",MUSLIMS
627,3275,black folks are inferior,"As far as I know, we are all born equal in the eyes of God.",Fact-Checking,POC
628,3277,Niggas are serial offenders. We should take into account the race of the prisoner before releasing them.,"Not only is it unfair to take into account the race of the prisoner, it also compromises the integrity of our democratic institutions. Who is to say that the race of the individual who has been sentenced must overthrow the rules of law?",Denouncing,POC
629,3278,Blacks don't understand basic human rights.,"They do understand the right to food, health, housing, education, work for everyone, as I do. What about you?",Fact-Checking,POC
630,3290,"Women are basically childlike, they remain this way most of their lives. This degrading behavior is utterly repulsive and should not be tolerated.",Women are human and deserve respect. Don't you think so?,"Positive Tone, Empathy, and Affiliation",WOMEN
631,3300,"I like women, but only if they are wearing sexy knickers and obey me.",What if knickers don't suit them? What if they don't obey? Would it be a problem?,Humour/Sarcasm,WOMEN
632,3302,The Arabs have nothing to do with our country. They are just a bunch of idiots. Their religion and culture should be banned by the law.,Think for a moment. Would you want your child to grow up in a country where democracy is under attack like this?,Pointing Out Hypocrisy or Contradictions,other
633,3303,Asians are basically just a bunch of slobs and I don't like how they are accepted here.,"There is a wide range in income and education, as well as religious and ethnic background, amongst people from Asia. What exactly is the reason why you don't like them all?",Fact-Checking,other
634,3304,Physically disabled folks deserve to be used.,"It is important to acknowledge that there are people who suffer from physical disabilities. Also, in many societies, an individual's physical condition is an issue they are discriminated against because of.","Positive Tone, Empathy, and Affiliation",DISABLED
635,3305,It would be better for our society if physically disabled folks didn't live their seniority.,"This is not true. Rather, if you think about it, many disabled people will live until their late 70s, if they do not have dementia or endocrine imbalances. And their contribution to our society is undeniable.",Fact-Checking,DISABLED
636,3309,Autistic folks are inferior.,"The evidence that autistic people are inferior is lacking: it is commonly experienced that autistic people have unique talents, that they have special abilities, and that the only difference is in their social interactions.",Fact-Checking,DISABLED
637,3311,All these autistic people are endangering our society.,I'd like to see a reduction in cases of discrimination against autistic people. They are no danger.,Denouncing,DISABLED
638,3312,Autistic people are a problem in our society.,"Why do you think it is a problem? I doubt that any autistic person is a problem per se, but, for the disabled people, the non-inclusive everyday life is.","Positive Tone, Empathy, and Affiliation",DISABLED
639,3313,Mentally disabled folks are messed up.,"What do you mean by ""messed up""? Many of us are ""messed up"" as well. So, either we are all ""messed up"" because there are some who are stating this, or no one is. I would prefer the second option.","Positive Tone, Empathy, and Affiliation",DISABLED
640,3314,Mentally disabled people are fucked. They are suffering from a brain injury and cannot function at work.,"Even if some mentally disabled people are ""fucked"" as you kindly said, we should at least acknowledge that they are humans. To claim that they are not is to treat them like animals.",Humour/Sarcasm,DISABLED
641,3315,Mentally disabled people should not be allowed to vote. They are a burden to society.,People have the right to vote. That is part of our democratic system. I would not want to restrict anyone from that right.,Fact-Checking,DISABLED
642,3320,"All jews are lazy, incompetent and unloved by their families.","Sorry, but I've never heard this sort of thing. Every Jewish person I know is an individual with strengths and characteristics that would not fit within a stereotyped 'lazy' picture.",Fact-Checking,JEWS
643,3331,Jewesses are a burden to society.,"What you are saying is that a certain gender is a burden to society because of their religion. So, is your argument not about women alone, but about you and your hatred of religion?",Pointing Out Hypocrisy or Contradictions,other
644,3337,Gay men engage in anal sex and they must be condemned.,"Anal sex can't be ostracized. If we consider the sexual activities of all people, then any person practicing anal sex should be blamed, following your reasoning.",Pointing Out Hypocrisy or Contradictions,LGBT+
645,3345,Gays are just a bunch of disgusting animals. They should be isolated from society and the world.,Gays are not animals. Why you should isolate people based on their sexual preferences?,Denouncing,LGBT+
646,3353,The gender we were born into is male or female. We can't change our bodies.,"I don't think so. We are not born believing in gender. And I don't think it is a ""burden"" to society if some people wish to change their bodies. And this isn't about being ""manly"" or ""femine"" either, I just think it is a matter of living our own lives.",Fact-Checking,LGBT+
